gloss,closs,cfloss,crloss,cploss
283.6964301665624,-59.8235831896464,-113.4158553784713,-78.90617256382635,132.49844311674437
1548.2183837890625,-236.0883961995443,-1361.121787516276,970.4266479492187,154.6067393620809
1919.4527994791667,-191.50993728637695,-1796.7880635579427,1450.6135498046874,154.66457461938262
1526.28955078125,-211.56155598958333,-1593.9301839192708,1246.4822428385417,135.88638504346213
1570.7873942057292,-207.05056864420573,-1524.3946533203125,1184.2285319010418,133.11555163065594
1338.085734049479,-182.76514790852863,-1369.9020345052083,1068.2607259114582,118.8761618932088
1246.2279052734375,-161.02623545328777,-1174.0929321289063,911.0973022460937,101.96939357121784
1124.9069010416665,-144.81295776367188,-1088.7331258138022,858.6824991861979,85.23766851425171
1372.8056640625,-118.50894775390626,-1034.7783955891928,842.5803192138673,73.68912702798843
1601.762980143229,-109.54328104654948,-1752.7266845703123,1580.0298990885417,63.15350453058879
1416.0814208984375,-90.96972147623698,-1404.854353841146,1266.0702473958331,47.81438477834065
1206.6940104166667,-74.30983835856121,-1229.5427897135417,1117.9459106445313,37.28704082965851
1204.1656901041667,-49.654702885945625,-958.1529932657877,883.6895507812501,24.808739403883614
1351.270263671875,-44.30007502237956,-1342.3448404947917,1279.9801513671875,18.064613898595177
1166.7799886067708,-34.92827936808268,-1198.7904622395833,1150.5500325520832,13.312150100866953
1034.982157389323,-30.02208760579427,-990.3270548502605,949.2889689127604,11.01599845290184
1015.2379150390625,-26.905729675292974,-1060.6811767578126,1024.8467081705728,8.928738842407862
743.7381998697916,-23.77453600565592,-992.2356343587239,960.512314860026,7.948783315718174
1144.7715657552083,-23.58927828470866,-1008.370009358724,977.342128499349,7.438602606455484
593.3279724121094,-22.28002103169759,-1014.2716740926107,984.6247978210449,7.3668552438418065
1120.072998046875,-23.049330520629887,-979.1249959309896,949.0113037109377,7.064361761013667
970.3734130859375,-22.243372599283855,-1027.0217163085936,997.5862915039063,7.19205250342687
925.65478515625,-19.328188323974608,-1010.7564046223958,985.5611979166666,5.867018416523933
728.564697265625,-21.265294392903645,-874.5350606282552,847.4142435709637,5.855522354443869
378.5401204427083,-20.254068183898926,-638.6597340901692,611.417758178711,6.987907887746889
1039.2370198567708,-19.89525604248047,-964.3709025065104,938.2552612304689,6.2203853602210675
617.7100575764974,-19.517493438720702,-643.1922561645508,617.9795567830404,5.695206135511398
1616.1343587239583,-17.283382225036622,-1389.4225748697916,1367.1922037760417,4.946988845864932
116.75837198893228,-15.169014930725096,127.5748209635417,-146.3760904947917,3.632254658266902
1497.7998860677083,-15.002128410339354,-1043.1024027506512,1022.8501973470052,5.250076962014039
1549.019327799479,-16.61032829284668,-1421.8180338541665,1400.90546875,4.302236785491308
1356.6431477864583,-16.029331334431966,-1289.1064778645832,1268.0113240559897,5.065822536436221
1653.9677734375,-17.17361348470052,-1691.5208984375,1670.0077636718752,4.339521194497744
1434.4998372395833,-16.858491325378417,-1491.525850423177,1469.8734903971356,4.793868633608024
1206.4370524088542,-17.423914337158205,-1280.5825276692708,1258.2450358072915,4.913577392697334
810.8956883748372,-16.343990643819176,-769.0792330423992,747.3458817799886,5.38936060667038
638.3124186197917,-17.632301076253256,-541.5073048909506,519.6457031250001,4.229300702611605
1181.797587076823,-17.035602569580078,-784.7115885416667,762.4574442545572,5.218541778624059
699.9819742838542,-17.177659797668458,-739.0536051432291,716.8685709635416,5.007374542454878
236.37170410156256,-16.919780985514326,-46.798210652669184,25.408794148763036,4.4696352779865265
1838.6688232421875,-16.82727667490641,-1572.482470703125,1550.72998046875,4.925213490923246
1191.3188883463542,-16.067996088663737,-1386.5216186523437,1365.8493367513022,4.604285657405853
1557.567138671875,-16.813104756673177,-1008.6791788736979,987.2597900390625,4.606284076968829
1903.0035400390625,-15.481215476989746,-1846.1334960937497,1826.0402994791666,4.611981141691407
1245.6063232421875,-15.9621727625529,-1353.9206705729166,1333.6821858723958,4.2763119240601855
1172.2861735026042,-16.806299463907877,-1201.5534505208334,1180.1218017578124,4.625349293152491
1661.604207356771,-15.455852635701497,-1376.195487467448,1356.7816446940103,3.957990003128846
1442.6050008138022,-14.373559697469076,-1276.090817260742,1258.00400390625,3.7132536837210255
1238.3683268229167,-15.06717332204183,-1365.63369140625,1346.7313151041665,3.8352029472589493
1356.9538167317708,-13.61472371419271,-1280.2454264322917,1263.1820068359375,3.448695927858353
-506.7258605957031,-11.550200589497882,318.5227474212646,-333.39447174072257,3.3215236545850835
-876.8556315104167,-12.02741305033366,859.4130381266277,-874.1374816894531,2.6970305182039738
725.3637161254883,-10.757615152994791,-46.42871228655179,33.115361277262366,2.5557358656078577
-464.5286661783854,-8.846194966634116,511.2839833577474,-522.568960316976,2.4387819971889257
921.6336263020834,-9.896572049458822,-637.9553298950195,625.8528689066569,2.205888944367568
466.3387044270833,-9.52968692779541,-471.930620320638,460.26357371012364,2.1373598699768386
581.9962113698323,-8.896872774759927,-424.27201321919756,413.48762944539385,1.8875109205643334
-321.2109832763671,-7.824497191111247,-202.01741358439128,192.00333201090493,2.1895843036472797
659.6686553955078,-7.16719258626302,-40.545132446289074,31.687170410156227,1.6907694824039936
960.9876505533855,-3.328144200642903,-860.466866048177,852.7899861653646,4.348735596363743
13.024414062499943,-7.194812901814779,-470.18000284830737,461.7001993815104,1.2849905441204708
605.0945920944214,-6.912458992004394,-515.9761128743489,507.51594441731766,1.5477094010760388
179.58737436930338,-6.9552370707194004,-388.6246973673503,380.1867405494054,1.4827197392781577
56.75982666015623,-5.693872197469076,142.63943430582682,-149.78633829752602,1.4530317969620228
13.081899007161468,-6.748394552866618,-193.6686201731364,185.2613010803859,1.6589244777957597
-15.495707194010407,-5.642326100667319,-254.3236028035481,247.6347820281983,1.046494704981645
-347.01055908203125,-6.058295345306397,348.1502573649089,-355.42310180664055,1.2145490907132626
153.14724731445312,-6.369831562042236,-330.6097951253255,323.02657623291014,1.213387315471967
